Question,Category
السلام عليكم انا كنت من كام شهر كان عندي الم متقطع في الخصيه وبعدها انتقل لليسري ونا كنت بعاني قبلها من حرقان البول ودلوقتي في الم في العروق التي تحمل...,المسالك البولية
انا متزوجة وعمرى ٢٥ ووزنى ١١٠ وطولى ١٦٧ وعايزة اخس وانزل وزنى,التغذية والدواء
اعاني كتيرا من الخجل بحيت اثر علي في جميع مناحي الحياة هل من نصيحة بهدا الخصوص للتخلص من هذه الآفة و شكراا,الصحة النفسية
ابنتي ذات ال10 أشهر اعطاها اخيها ذو ال6سنوات جرعه زائده من دواء سالونال للانتفاخ وكانت الوصفه 0،2واعطاها تقريبا 2مل او 1ونصف مل هل يسبب ضرر ارجو الرد سريعا,صحة الطفل
انا لدي غدد لمفاوية متضخمة في الثدي مؤلمة ذهبت الدكتورة وعملت صورة ايكو وكانت سليمة ولكن الالم مستمر عمري ٢٦سنة متزوجة ولدي بنت,الأورام
كان السعال مرافقا للرشح ذهب الرشح بقي السعال ويزعجني لانه احيانا عند التكلم اشعر بدخول الهواء واني بحاحة للسعال وايضا الاحظ رؤية مادة بيضاء تنزل في الحلق كانت عندي حكة...,أنف وأذن وحنجرة
هل برود الخصيتين امر طبيعي ؟,المسالك البولية
"اخي الصغير يبلغ من العمر 8 سنوات اصيب باغماء مع تشنج للجزء العلوي من الجسد دام لمدة ثلث ساعة مع خروج زبد من الفم وتقلب عيناه للأعلى .
ارجو ان...",الأمراض العصبية
اخر علاج للروماتيد,العظام والمفاصل
ركبت سيارة فدخلت قدمي في حديد فلتووت قدمي وظهر صوت مثل الاحتكاك وفي نفس اليوم وانا راجعه من البيت ازداد الالم ووضعته عليه ماء حار والملح وبعض سنه واشهر رجع...,العظام والمفاصل
"السلام عليكم ورحمة الله وبركاته
السوال الاول
هل يوجد علاج لضعف القذف الشديد
السوال الثاني
هل يوجد علاقة بين انكماش كيس الصفن والتهاب البروستات
السوال الثالث
ما سبب انكماش كيس...",المسالك البولية
دكتور ايش احسن حل لفقدان الوزن الزائد ؟ في طريقة رجيم معينه تنفعني؟ وزني ٧٦,التغذية والدواء
اواجه ضغط نفسي شديد نتيجة ظهور نتيجتي في الثانويه العامه وينحصر تفكيري فقط في الانتحار ارجو المساعده كي اتخلص من هذا التفكير واكمل حياتي,الصحة النفسية
عندي22س وبرضع حاليا واشعر دايما باختناق ف الصدر والذور وكأن حد ماسكني من رقبتي وشك في القلب ووجع في الظهر من ناحيه الشمال وعملت رسم قلب والنتيجه سليمه وبحه في...,القلب والأوعية الدموية
السلام عليكم هل يجب حبس البول قبل تحليل السكر للصائم انت اليوم تبولت وغسلت يدي وقمت باجرا التحليل هل هذا صحيح ام يجب حبس البول قبل التحليل.ومرا لكم,المسالك البولية
"السلام عليكم
اريد اس الكريم الذي وصفته لي للخطوط البيضاء في صدري وهل يوجد بالعراق الاستشار الى دكتور مال سلسع",الجلدية والتجميل
"زميلي يشعر بتراخي اعصابه خاصة يديه و يتساقط شعر بطنه بسهولة و عند تغيير ملابسه يتألم جدا من جلد بطنه و الم شديد في بطنه
و شكرا لكم و جزاكم...",الأمراض العصبية
انا رجل ولكن لدي خصر انثوي والدهون تتجمع في منطقة الارداف ولدي تثدي - له اكثر من ٦ سنوات -ما الحل لهذه المشاكل؟ هل الهرمونات الاثنًوية زائدة عندي ؟,الباطنة والغدد الصماء
شعور باغلاق شريان في الحلق الجهى اليمنى تؤلمني فقدت حاستي الشم والتذوق ولكن احيانا كانت ترجع حاسة الشم والذوق معا وبدأ يخرج قيح اصفر صلب من حلقي كل ١٠ الى...,أنف وأذن وحنجرة
ابني عمره سنتين لديه انيميا نقص الحديد ،تناول سلفات الحديد والفوليك اسيد 3 اشهر ، نسبة TIBC حاليا ug/dI 266 ، نسبة الهيموجلوبين ug/dI 10 ، فهل النسب في المدي...,صحة الطفل
تعرضت لحادثة-دخول قطعة كبيرة من الزجاج في عيني_منذ 21 سنة .بعد الحادثة توالت العمليات الجراحية كانت اخرها استاصال عيني اليسرى تحت طلب من والدي لان مصاريف العلاج كثرت عليه على...,طب العيون
هل توجد جراحة لعلاج الجلوكوما و ضعف العصب البصري نهائيا ؟؟؟,طب العيون
"اغاني من الخبا
ط يأتيني وسواس وخوف وقلق اسئل نفسي كيف انا وكيف اتحدث وانا شخصيتي ضعيفة اي شيئ يأثر في وفي أوقات أصبح عادي يذهب عني كل شيئ انا...",الصحة النفسية
"مسا الخير
بالبداية اريد ان اعرف ما هو سبب تعلق الخصية اليسار في منطقة العانة اعلى العضو الذكري جهة اليسار وماهو اثارها على الحالة العامة للرجل؟
عند وجود الام في...",المسالك البولية
منذ شهر ونصف ظهرت بقعة في رأسه بيضاء فاستشرت الصيدلي ووصف له محلول مطهر مع كريم ولكن المشكله زادت وظهر أكثر من بقعه واستخدمت أيضا مرهم اليكاسال ودون فائده وذهبت...,صحة الطفل
اعانى من حرقان مزمن في جفون العين واستخدم قطرة ديكسافلوكس هل من الممكن ان استخدم قطرة نورمو تيرز بجانب الديكسافلوكس وشكرا,طب العيون
هل يوجد ضرر في استعمال الاوميغا 3 مع كبسولات الثوم ؟؟,التغذية والدواء
الإحساس المستمر لوجود شىء غريب فى الحلق أو فى البلعوم,أنف وأذن وحنجرة
انا لم اشرب ماء طول النهار ولكن عند العشاء اشرب تقريبا شي 2 ليتر هل هزا يؤثر على شيء,التغذية والدواء
انا شاب عمري 34 سنه متزوج عندي اولاد بدأت المشكله منذ اكثر من عام لا اشتكي من اي امراض عملت تحليل بروستاتا وتيسترون كله كويس ما عدا اشعه ع القضيب...,المسالك البولية
"والدتي من يومين طلعلها حبة فوق جفن عينها اليمين من فوق وهلق معبية اصفر
رجاءً تفيدوني وشو علاجها وظهورها خطر الا طبيعي
وشكرا كتير الكم",الجلدية والتجميل
الم في الفخذ اليسر,العظام والمفاصل
السلام عليكم نشكر موقعكم المميز لقد كنت اتعالج ب Euthyrox 50 لمدة 5 سنوات وقمت بعمل تحليل TSH منذ يومين وكانت النتيجة 0.16 والمعدل الطبيعي بين 0.35-4.5 مع اني اعاني...,التغذية والدواء
اشعر من اسبوع اني عندما انحني تأتي دوخه غريبه جدا تكون في الجزء الخلفي من رأسي اشعر باني غير متزنه وكأنني انزل وارتفع بسرعه لا ادري كيف اوصف ذلك,الأمراض العصبية
هل الموت الدماغي له ضغط دم مستقر 115/75,القلب والأوعية الدموية
اراجع كامل الدروس لكن بمجرد دخول قاعة الامتحان افقد القدره على التركيز وتتذبذب افكار فما هي الاسباب والحلول لهذه المشكله لو سمحتم,الصحة النفسية
ابني عمره8سنوات وبالصدفه لاحظت شيء يشبه الظفر او الخدش وصغير جداعلى حافه القزحيه فهل من تاثير لذلك علما انه لا يسبب اي الم له او عارض من اي نوع فهل...,طب العيون
"تحياتي.اعاني من فرط تعرق بالوجه بالرغم من وجودي في درجة حرارة باردة وذلك عند بذل مجهود بسيط
كما اعاني من تساقط في شعر رأسي وجسمي
نصحوني بشرب الميرمية.فأريد نصائحكم ولكم...",الجلدية والتجميل
يوجد معي حراره في ثدي والألم وورم هل تدل على سرطان ثدي,الأورام
هل يجب شرب ٨اكواب ماء؟؟ ام يمكن ان نشرب سوائل اخرى صحية مثل الحليب و العصير الطبيعي ؟,التغذية والدواء
السلام عليكم اعاني حساسية مند مدة تتحول في انحاء الجسم في بعض الاحيان احس اني متعافى تم تعود من جديد ارجوك دكتور هل من علاج لانني تعبت تحياتي لكم,الجلدية والتجميل
السلام عليكم ، عندي الم في العيون فوق الجفن من الداخل وعند الضغط على العيون لمدة دقيقه تصبح الرؤيه وكانه ضباب ثم بعد ثانيه يزول هل الامر طبيعي؟,طب العيون
"ابني مصاب بhypoaldosteronism ومنتظم منذ ٩ سنوات على جرعه حبتين يوميا fludrocotison
ولاول مرة يضاعف الجرعه أخذها مرتين بفارق ساعتين هل اذهب للطوارئ",صحة الطفل
منذ يومين اثناء صلاة حدث عندي التواء بالقدم مما ادى الى الم شديد وانتفاخ اشبه بالفقاعة اسفل الجلد عند مفصل القدم من الجهة العلياهل هي حالة تمزق علما ان هذه...,العظام والمفاصل
"طفل عمره سنه ظهر لديه تسوس فى الاسنان بدأت ب اللون الابيض ثم الاصفر ثم تأكل انظف اسنانه بقطنه بماء وذهبت الى الطبيب قال لا يوجد علاج لصغر سنه
كيف...",طب وصحة الأسنان
انا سيدة في عمر 50 سنة وزني 70 مرضت ب مرض عرق النسا ما هو العلاج المناسب له ؟ وكيف يجب التعامل معه ؟,العظام والمفاصل
ما هو علاج تعليق الفك؟ و يكون من جهه واحده و ليس بالتحديد اليمنى,طب وصحة الأسنان
انا عندي مشاكل في البطن بارز جدا,الباطنة والغدد الصماء
"اريد ان اعرف استخدام سيبروكير فقط
وشكرا لك",التغذية والدواء
الام في الصدر واحس كما ان صدري و ظهري يحترقان و اختناق و عياء و هذه الحاله لمده شهرولا يستجيب جسمي للعلاج و اخشى هذا,القلب والأوعية الدموية
اعاني من نقص وزن مستمر ادى بي للنحافة ولا يتوقف مع قلة الاكل ماهي تحاليل التي ينبغي القيام بها وهل الاكتآب يسبب تناقص في الوزن مستمر اذا لم يعالج,التغذية والدواء
هل يمكن للرضاعه ان تسبب الم فى اﻻسنان وما العﻻح هل اتناول اقراص كالسيوم؟,طب وصحة الأسنان
ادوية لعلاج التأتأه,الأمراض العصبية
لي ٨ اشهر وانا اخذ لوسترال ٥٠ حبه في اليوم بسبب القلق الشديد وحسيت بفرق ولكن عاد لي التوتر منذ يومين واخبرت طبيبي بذلك وقال خذي معه حبه مساءا روميرون٣٠...,الصحة النفسية
وزني يقف عقبة لدخول الكلية الحربية.ويجب ان يكون وزني 85 وهو الان 70 ولم اجرب اي ادوية وقمت بالتحليل وليس عندي اي امراض اقترح دواء لي ويكون فعال. امامي فقط...,التغذية والدواء
"قمت بإجراء خزعة من الكلى و كانت النتيجة كالاتي
( The glomeruli show granular mesangial immunoreactivity to IgA (1+), C3 (1+), kappa light chain (+trace), Lambda light chain (1+) and...",المسالك البولية
امي تعاني من جفاف فالحلق بسبب حموضة الدم,الباطنة والغدد الصماء
طفلي أكمل شهره الثاني ، وحتى الآن لم تدمع عينيه ، ماهو الحل ؟,طب العيون
"طيب جهاز بستلاين كم الفترة الي لازم اضل استعمل فيها الجهاز
عشان احصل على النتيجة ....وكم الفترة الي بتبدأ النتيجة والي بلاحظ انه صدري حجمه كبر...وهل اذا تركت استعماله برجع...",الباطنة والغدد الصماء
هل الاندومي في سرطان باكله كتير مفيش بس ماما بتقول اني الاندومي في سرطان,الأورام
بعد التهاب حلقي اصابني إرهاق شديد مهما نمت لا ارتاح,أنف وأذن وحنجرة
انا اقوم بضرب ابرة بيتاكورد كل شهر لان لدي حساسية جيوب انفية مزمنه هل هناك اي ضرر من هذه الابره,أنف وأذن وحنجرة
كيف ممكن ازيد وزني ؟,التغذية والدواء
مافائده وضع نطفه عسل نحل علی السره,الجلدية والتجميل
"السلام عليكم.
لقد عملت عملية ليزر منذ 4 شهور و مازالت عيني جافة. لقد وصف ليي الطبيب دموع اصطناعية اسمها blink instensive tears. ولكن منذ فترة اتيت الى المملكة العربية...",طب العيون
هل يستوجب عمل عملية لتوسع قنوات الحليب و إزالة الغدد مع العلم انه كان ينزل من الثدي دم و انقطع بعد اخذي مضادات حيوية... عمري، ٣١ عام و ام ل...,الأورام
"هل حبوب centrum تسببب الاكتئاب والام بالمعده ؟!
علما اني لم اخذها بأستشارة طبيب، وعندي نقص فيتامين دال بسيط",الصحة النفسية
كنت اذاكر بالكومبيوتر عده ساعات وفجاه كل ماارمش عيوني تصدر اصوات ولما المس عيني اليمنى اشعر بشعور غريب مثل ان المجحر العين بيدخل داخل وحواجبي الم مدري غريب ارجوا الرد...,طب العيون
"اشدشعر خصيتى بيدى بدون الم وأكتر الشعر حاسس أن نصف الشعرة مكسية شمع عليها طبقة أخرى بيضاء
أرجو التفضل بالعلاج",المسالك البولية
"السلام وعليكم
ارجو الاستفسار بخصوص امكانية علاج مرض الثعلبة علمآ اني إصبت بهذا المرض قبل ستة اشهر في منطقة اللحية بحجم 4*2 سم ماهي طريقة العلاج والتكلفة واين أجدكم في...",الجلدية والتجميل
ما هي مؤثرات السوائل خلف الطبلة وما هي الاسباب ؟!,أنف وأذن وحنجرة
ما اسباب إضطراب نبضات القلب المفاجئ بشكل سريع مع العلم اني لا اعاني من ضغط الدم او اي مرض اخر الحمدالله ..,القلب والأوعية الدموية
السلام وعليكم، انا ابي في عمر ال ٥٠ ، و ظهر في اعلى خلف رأسه شيأً مثل شكل الغدة، فما العمل؟؟؟,الأورام
والدي مريض سرطان بسبب كتلة اعلى الرئة تسبب الام شديدة ومستمرة باليد اليمنى وياخد جرعات كيماوية كل 21 يوم هل يجوز استخدام ابر ترامادول له,الأورام
هل يوجد علاج للسيليوليت؟؟؟؟؟,الجلدية والتجميل
أعاني من الذبابه الطائرة ... في الأيام السابقة لاحظت تغير في احد الأشكال التي أراها هل هذا يعني انها تتلاشى ام لا؟,طب العيون
هل يوجد علاج لطفل يعاني من ورم عصبي (حميدة) على اعصاب العين ادى الى اضعاف الرؤية لدية؟كيف؟واين؟,الأورام
السلام عليكم ورحمة الله وبركاته اعمري 23 اشكو من حساسية في الانف واخذت علاجات لكن لم تتوقف عطاس و حكه وكحه والان ظهور صوت عندما اخذ نفسا من الفم قرقعه,أنف وأذن وحنجرة
السلام انا اعاني من أسمرار شديد في الأبط حيث انه غير وراثي ،، وانا لا أقوم بإزالة الشعر بالموس بل بالأله ولكن مالحل لمذا هذا السواد فا اريد حل لتبييييييضه...,الجلدية والتجميل
انا اﻻن في سن ال 63 ومشكلتي ان اري اسناني تتساقط واحد تلوه اﻻخر وﻻاعرف ما اﻻسباب. اريد منكم الجواب جزاكم الله خيرا,طب وصحة الأسنان
بنتي ٦ شهور وزنها ٦ كيلو هل وزنها منيح هيك؟ شوو ممكن تاكل بهيك عمر؟,صحة الطفل
هل المشي البطيئ أو الجري يضعف وأيهما أفضل وهل يشد الجسم وكم ساعه يفضل,التغذية والدواء
انا اعاني من تسارع ضربات القلب خصوصن بعد الاكل و احيانا يقف قلبي لثانية ثم يسترجع دقاته من الخوف ارتعش عندما تائتيني هده الحالة و احس كئاني سئاموت ماهو الحل...,القلب والأوعية الدموية
لقد قمت بعمل عملية جراحية هي اصلاح اعوجاج الساق من اسفل العظمة الاسفنجية والان مرت 57 يوما ولا يوجد احساس من منتصف عظمة التبية حتي الاصابع مع العلم بوجود تنميل...,الأمراض العصبية
انا فتاة عمري 20سنة اعاني من تسارع دقات القلب اشترت طبيبا مند 5اشهر وصف لي دواء لكني مازالت كقبل بل اسوء خصوصا عند الاستيقاظ,القلب والأوعية الدموية
نسبه الصفراء وبنتي عندها اسبوع كانت ١٤ ولما تمت اسبوعين بقت ١٣ كده الصفرا بتقل ولا فيه خطوره ان المفروض تنزل اكتر من درجه في اسبوع؟!!,صحة الطفل
سلام انا عملت تحليل سكر في رمضان طلع سكري 1.17 هل انا في سكر هل اصوم رمضان وشكرا لكم,الباطنة والغدد الصماء
"السلام عليكم ورحمة الله وبركاته
السادة الاحبة طاب يومكم
انا على وشك الزواج حاليا ولكن خطيبتي تواجه مشكلة في العيون،فهي تعاني من حساسة داخل العيون اضافة الى ان الطبيب الاخصائي...",طب العيون
هل هناك جراحة لتصلب عظمة الركابي في الأن أم الأفضل استخدام سماعة طبية؟,أنف وأذن وحنجرة
انا عندي مشكلة في المعدة منذ سة سنوات اهمها الشعور بالامتلاء احيانا وخاصتا بعد الاكل الغتيان .عدم الاطمانان ارتعاش في الصدر يصحبه ذل .وزني ناقص عشر كيلو فحوصات الدم جي,الباطنة والغدد الصماء
"من حوالى 7 سنين جالى مرض جلدى و كان عبارة عن فطريات مشبعة بالماء
الحمد لله المرض خفيت منه بس المشكلة انه مكانه لون الجلد متغير يميل للبنى
ايه الادوية...",الجلدية والتجميل
الم في منتصف اسفل القدم الرجل اليمنى,العظام والمفاصل
هل من الممكن علاج الفشل الكلوي بشكل نهائي وشكرا,المسالك البولية
انا اتحسس جدا من البنسلين فعند تناولي الادويه التي تحوي البنسلين ارى يحصل لدي طفح جلدي وحبوب على الخدين ما السبب,التغذية والدواء
"السلآم عليكم
من فضلكم أريد دواء فعالا لاسترجاع اللثة
وكذلك زيادة الوزن
وشكرا",طب وصحة الأسنان
ما سبب الريق الحلو الدائم في فمي,طب وصحة الأسنان
ما اسباب سرطان الكلى في سن.مبكره,الأورام
"اعاني من مرض الديسك في اسفل ظهري في فقرة الرابعه و الخامسة و التهاب بالعصب الوركي في القدم اليمنى هل ذلك يسبب رعشة في اليد اليمنى
و شكراً لكم",العظام والمفاصل
ظهر عندي حبوب صغيره فوق الكعب مباشره ثسبب لي حكة من الحين والاخر وهذي الحبوب في الرجل اليمنى وبنفس الوقت نفس هذة الحبوب موجودة عند زوجتي بنفس المكان والمواصفات,الجلدية والتجميل
السلام عليكم....اشعر احيانا بالم شديد فى يسار البطن مع وجود غازات شديدة لا استطيع اخراجها الا بالنوم على البطن واحيانا يصعب علي هذا الحل اثناء عملى مع العلم انى ذهبت...,الباطنة والغدد الصماء
ابنتي تعاني من اعراض لا تفسير لها فقدت شعورها تجاه الحياه وحماسهاوشغفهاواحساسها كله فجاءه وطول الوقت متعبه ولا تريد ان تتكلم او تخرج مع احد اصبحت انطوائيه جداً ما الحل...,صحة الطفل
هل هناك حمية غذائية لمريض جلطة الشريان الرئوي مع علاج زارلتو؟,التغذية والدواء
اعاني من الوسواس القهري في الافكار المتسلطة والاكتئاب الموسمي مريض مند 6 سنوات,الصحة النفسية
كم هي مدة وضع جهاز توسيع الفك العلوي هل هي فترة طويلة,طب وصحة الأسنان
انا عندي تضخم في الطحال فماهو علاجهاالتضخم,الباطنة والغدد الصماء
ما هي أخطر حالات الوسواس القهري؟هل يمكن أن تسبب أرق شديد أم أنه يمكن التعايش مع الفكرة والنوم مهما كان الوسواس شديدا؟,الصحة النفسية
"احداث اثارة جنسية عدم القدف قصد اطالة المدة
الم في الخصيتين + اسفل الظهر + البطن لا يزول الالم الا بعد قسط من الراحة 3 ساعات ما فوق مع العلم...",المسالك البولية
اسناني بارزين وليس لي مساحة لذا قال الدكتور ساخلع منك ضرسين من الفك الاعلي فخلع ضرس موسوس وهو السادس من الفك الايمن وقال انه سيخلع ضرس الرابع مع العلم ان...,طب وصحة الأسنان
"منذ اكثر من سنتين وانا اعاني من انسداد احد فتحات الأنف وكل يوم يختلف مابين الفتحة اليمنى واليسرى ولكن لم يسبق لانفي ان انسد طرفيه الاثنين بنفس الوقت , ولكن...",أنف وأذن وحنجرة
ما اسباب حكه وحرارة اصابع القدم مع العلم انو هاي اول مرة تصير عندي هاي المشكله وشكرا,الجلدية والتجميل
هل من الممكن تحول الورم في الغدة النخاميه الى ورم خبيث (سرطان ) مع العلم اني اعاني من صداع نصفي دائم تقريبا ولذا اختفى الصداع فلمدة لا تتجاوز الساعتين ثم...,الأورام
"السلام عليكم.
لدي مشكلة جلدية اسمها PIH 'بقع سوداء و بنية تظهر بعد اختفاء حب الشباب'
لدي Salicylic Acid Peel
كم دقيقة يجب ان ابقي هذا الاسيد على جلدي قبل...",الجلدية والتجميل
أنا كنت أحلق الشعر الزائد في قدمي بالشفرة و الان أعاني من ظهور الحبوب ماذا افعل و شكرًا,الجلدية والتجميل
"عندي قطع بنسبه ٪٥٠ في فتحه الشرج اعتقد الدكتوره تقصد قطع في sphincter
هل في طريقه لألتأم هذا القطع مثلا ب كريم
مثل nitroglycerin ointment",المسالك البولية
شعور ألم في العصعص,العظام والمفاصل
ما هي الأغذية الغنية بالبوتاسيوم والصوديوم ؟,التغذية والدواء
السلام عليكم اليوم ظهر لي فجأة بقعة صغيييرة جداً من الدم فوق جلدي وهي عند مفصل اليد من الجنب ومعها في البداية حكة بسيطة وكأنها بالون دم وهي صغيرة جداً...,الأورام
هل إذا الشخص يعاني من ورم في الدماغ هل يضهر في تحليل الدم؟ ومتى يمكن ان تضهر الأعراض؟,الأمراض العصبية
انتفاخ بسيط عن فتحة البول ماهيه؟؟,المسالك البولية
قصور في الغده الدرقيه مما سبب لي الخوف والهلع ..وصف لي الطبيب ديباكين كرونو وسيروبلكس. مع دواء ليفوتيروكس .هل أواصل أم لا وشكرا,الباطنة والغدد الصماء
"لماذا عندما اتعصب او اكون في حاله انفعال اشعر ان اعصابي ترتجف وتسرع في نبض القلب وغير قادر علي التكلم بطريقة سليمة .
أرجو الإفادة",الصحة النفسية
عمري ٢٠ سنه والاكزيما وحكتها مسببت لي احراج شديد خصوصا اهي بيدي اليمين وقدمي يعني مره واضحه ابي علاج لها رحت مستشفيات واعطوني علاج بس ما فاد معي وغير كذا...,الجلدية والتجميل
الم في معدتي منذ خمس ساعات ولايذهب ابدا ولا استطيع التحرك من الالم ماذا افعل,الباطنة والغدد الصماء
ضربات قلبي منتظمة اليوم كله تزداد مع المجهود وعند النوم تقل ودا شي طبيعي ولكن عند القيام فجاة تداد لتصل الي 100 ضربة في الدقيقة احيانا تستمر وانا واقف واحيانا...,القلب والأوعية الدموية
اعاني من الخوف الشديد من الموت و تفكيري دائما بالموت.دقات قلبي سريعة ضيق التنفس اشعر بالاختناق في حلقي ترتعش ارجلي لا افكر بالمستقبل مرة استيقظت الساعة 3 فجرا و ظننت...,الصحة النفسية
طفلي ياكل التراب وقليل الشهية,صحة الطفل
مساء الخير مرض فايروس الكبد شنو هو عﻻج المناسب هل يصي عملية للكبد,الأورام
"السلام عليكم ورحمة الله وبركاته
أجريت تحليلة البول وكانت بعض النتائج لم أفهم معنا ها leucocytes quelques وأيضا cellules epitheliales",المسالك البولية
مشكلتي هي قلبي يدق وانتفض واخاف خوف شديد وقت المشاجرات والمضاربه فما هو الحل ؟,الصحة النفسية
ما هو أفضل علاج لجفاف العين بجانب الدموع الصناعية حيث انه برغم استخدامى للدموع الصناعية الا انه هناك صعوبة فى فتح العينين أثناء الاستيقاظ مع احمرار العينين وبخاصة اليسرى وأحيانا...,طب العيون
مرحبا عندي مشكلة وهي انني احب اقدام الاطفال تحت 12 سنة احب ان الحس اقدام الاطفال و ان اضربهم على قدميهم ما هو السبب في تفكيري بالاقدام وانا افرغ شهوتي...,الصحة النفسية
"إسهال
وجع صدر وحلق ولوز
كحة جافة
جفاف حلق
سيلان أنف
وجع رأس
إرهاق شديد
وجع في كل عضلات الجسم
قشعريرة
فحصت اليوم طلعت النتيجة سلبية؟؟؟
وبنتي عند دار حماي...",أنف وأذن وحنجرة
هل هناك حالات شفيت تماما من سرطان الثدي درجه تانيهher2 إيجابي ،أو كونه انتكاسي نسبه عودته كبيرة؟,الأورام
السلام عليكم ماهيا افضل اغدية الاطفال من عمر 9 شهور وهل استطيع ان اعطيه حليب الابل او البقر او لها تاتير عليه وشكرا,صحة الطفل
"اذني الايمن مسدوده دخل فيها ماء لها تقريبا اسبوع
بس مشكلتي اني بعد مادخل فيها ماء دخلت عود اذني عشان انظفها",أنف وأذن وحنجرة
احسست بالف قوي كان شيء خرج من القفص الصدري عندما كنت مستلقي على ظهري واصابتني كحة ومن وقتها واحس بالم بين ضلوعي السفليه في جهة اليمين مع النفس او الحركه...,القلب والأوعية الدموية
ابنتي عمرها 7 سنوات تعاني من عدم مجارات اطفال من نفس العمر في التعلم ولديها عناده وتحليل ال TSH لديها 4.6 ما ذا يمكن ان افعل وعلى اي طبيب اخدها...,صحة الطفل
"انا نحيف واتناول الكثير ولكنني لا انصح
ليس هنالك سبب وراثي
حتى وجهي نحيف مع العلم هنالك الكثير من الشبان لديهم تفاصيل وجهي ولكن وجههم ليس بنحيف
ارجو المساعدة",التغذية والدواء
عندي اهتزازاسنان و دكاترة لثه كل احد بكلام مختلف،عندي اهتزاز والعظم نازل او متآكل عن الطبيعي ،نظفت لثه ،هناك دكاتره نصحوني بالتقويم وبعضهم حذر من ذلك ونصح زراعة عظم ايهم...,طب وصحة الأسنان
هلا دكتور أنا شاب متزوج عمري26سنة أعاني من سعال مزمن ونفث دموي أحياناً أسود وأحياناً وردي وغثيان وألم فالصدر وخاصة القلب وتنمل الأطراف وعملت أشعة مقطعية للصدر وطبيعية,الباطنة والغدد الصماء
عندي وسواس قهري واستخدم فافرين 100 ومرتاز 15 ولكن احيانا اتوقف عن العلاج لظروف ماديه واسمع صفير مزعج براس ي هل لو تعالجت يستمر هذا الصفير عند تركه او اصبح...,الصحة النفسية
جرعه البيرافين مضاد الحساسيه لطفله عندها سنه,التغذية والدواء
لو سمحت هو كدا في ورم خبيث ف العظام وكنت عايز اعرف الاورام الي ف الجسم كلها ومداها,الأورام
في وقت من الأوقات من الليل احس ان عيني لا تري بوضوح ولكن ليس ضبابي شعور ان الأِشياء غير واضحة و حصلت حتا الأن مرتين ما هو السبب و ما...,طب العيون
قرأت في احد المواقع الطبية ان هناك تعارض بين أدوية حاصرات بيتا و عشبة البابونج هل هذا صحيح ؟,التغذية والدواء
هل يوجد آثار جانبية عند تناول لحم الخروف، أو ما هي اضرار لحم الخروف؟,التغذية والدواء
السلام عليكم انا من فترة اعني من ضعف بالنظر درجة واحدة ولاكن بدأت عيوني بالضمور وصغر حجمها ماالسبب وهل يمكن ان تعود لحجمها السابق وشكرا,طب العيون
انا امرأه معي مرض الدوار الدهليزي العلييل منذ زمن وعاودني هذا المرض الان واتناول دواء (بيتا سيرك _وكرافول ) وعندي مرض الضغط ارتفاع وانخفاض والشقيقه وغدة درقية وعمري 50 عاما...,أنف وأذن وحنجرة
علاج الذهان بدون ادويه,الصحة النفسية
اذا جاني إلتهاب حلق يأتي بعده بفتره تهيج في المعدة و تقيء ، ما السبب؟ وكيف استطيع علاج ذلك دون الذهاب للمستشفى؟,أنف وأذن وحنجرة
